ID	gene
250325_k562_perturbseq_enhancers_dup_filtered_min3_179	250325_k562_perturbseq_enhancers_dup_filtered_min3_179
250325_k562_perturbseq_enhancers_dup_filtered_min3_180	250325_k562_perturbseq_enhancers_dup_filtered_min3_180
250325_k562_perturbseq_enhancers_dup_filtered_min3_181	250325_k562_perturbseq_enhancers_dup_filtered_min3_181
250325_k562_perturbseq_enhancers_dup_filtered_min3_182	250325_k562_perturbseq_enhancers_dup_filtered_min3_182
250325_k562_perturbseq_enhancers_dup_filtered_min3_183	250325_k562_perturbseq_enhancers_dup_filtered_min3_183
250325_k562_perturbseq_enhancers_dup_filtered_min3_184	250325_k562_perturbseq_enhancers_dup_filtered_min3_184
250325_k562_perturbseq_enhancers_dup_filtered_min3_185	250325_k562_perturbseq_enhancers_dup_filtered_min3_185
250325_k562_perturbseq_enhancers_dup_filtered_min3_186	250325_k562_perturbseq_enhancers_dup_filtered_min3_186
250325_k562_perturbseq_enhancers_dup_filtered_min3_187	250325_k562_perturbseq_enhancers_dup_filtered_min3_187
250325_k562_perturbseq_enhancers_dup_filtered_min3_188	250325_k562_perturbseq_enhancers_dup_filtered_min3_188
250325_k562_perturbseq_enhancers_dup_filtered_min3_189	250325_k562_perturbseq_enhancers_dup_filtered_min3_189
250325_k562_perturbseq_enhancers_dup_filtered_min3_190	250325_k562_perturbseq_enhancers_dup_filtered_min3_190
250325_k562_perturbseq_enhancers_dup_filtered_min3_191	250325_k562_perturbseq_enhancers_dup_filtered_min3_191
250325_k562_perturbseq_enhancers_dup_filtered_min3_192	250325_k562_perturbseq_enhancers_dup_filtered_min3_192
250325_k562_perturbseq_enhancers_dup_filtered_min3_193	250325_k562_perturbseq_enhancers_dup_filtered_min3_193
250325_k562_perturbseq_enhancers_dup_filtered_min3_194	250325_k562_perturbseq_enhancers_dup_filtered_min3_194
250325_k562_perturbseq_enhancers_dup_filtered_min3_195	250325_k562_perturbseq_enhancers_dup_filtered_min3_195
250325_k562_perturbseq_enhancers_dup_filtered_min3_196	250325_k562_perturbseq_enhancers_dup_filtered_min3_196
250325_k562_perturbseq_enhancers_dup_filtered_min3_197	250325_k562_perturbseq_enhancers_dup_filtered_min3_197
250325_k562_perturbseq_enhancers_dup_filtered_min3_198	250325_k562_perturbseq_enhancers_dup_filtered_min3_198
250325_k562_perturbseq_enhancers_dup_filtered_min3_199	250325_k562_perturbseq_enhancers_dup_filtered_min3_199
250325_k562_perturbseq_enhancers_dup_filtered_min3_200	250325_k562_perturbseq_enhancers_dup_filtered_min3_200
250325_k562_perturbseq_enhancers_dup_filtered_min3_201	250325_k562_perturbseq_enhancers_dup_filtered_min3_201
250325_k562_perturbseq_enhancers_dup_filtered_min3_202	250325_k562_perturbseq_enhancers_dup_filtered_min3_202
250325_k562_perturbseq_enhancers_dup_filtered_min3_203	250325_k562_perturbseq_enhancers_dup_filtered_min3_203
250325_k562_perturbseq_enhancers_dup_filtered_min3_204	250325_k562_perturbseq_enhancers_dup_filtered_min3_204
250325_k562_perturbseq_enhancers_dup_filtered_min3_205	250325_k562_perturbseq_enhancers_dup_filtered_min3_205
250325_k562_perturbseq_enhancers_dup_filtered_min3_206	250325_k562_perturbseq_enhancers_dup_filtered_min3_206
250325_k562_perturbseq_enhancers_dup_filtered_min3_207	250325_k562_perturbseq_enhancers_dup_filtered_min3_207
250325_k562_perturbseq_enhancers_dup_filtered_min3_208	250325_k562_perturbseq_enhancers_dup_filtered_min3_208
250325_k562_perturbseq_enhancers_dup_filtered_min3_209	250325_k562_perturbseq_enhancers_dup_filtered_min3_209
250325_k562_perturbseq_enhancers_dup_filtered_min3_210	250325_k562_perturbseq_enhancers_dup_filtered_min3_210
250325_k562_perturbseq_enhancers_dup_filtered_min3_211	250325_k562_perturbseq_enhancers_dup_filtered_min3_211
250325_k562_perturbseq_enhancers_dup_filtered_min3_212	250325_k562_perturbseq_enhancers_dup_filtered_min3_212
250325_k562_perturbseq_enhancers_dup_filtered_min3_213	250325_k562_perturbseq_enhancers_dup_filtered_min3_213
250325_k562_perturbseq_enhancers_dup_filtered_min3_214	250325_k562_perturbseq_enhancers_dup_filtered_min3_214
250325_k562_perturbseq_enhancers_dup_filtered_min3_215	250325_k562_perturbseq_enhancers_dup_filtered_min3_215
250325_k562_perturbseq_enhancers_dup_filtered_min3_216	250325_k562_perturbseq_enhancers_dup_filtered_min3_216
250325_k562_perturbseq_enhancers_dup_filtered_min3_217	250325_k562_perturbseq_enhancers_dup_filtered_min3_217
250325_k562_perturbseq_enhancers_dup_filtered_min3_218	250325_k562_perturbseq_enhancers_dup_filtered_min3_218
250325_k562_perturbseq_enhancers_dup_filtered_min3_219	250325_k562_perturbseq_enhancers_dup_filtered_min3_219
250325_k562_perturbseq_enhancers_dup_filtered_min3_220	250325_k562_perturbseq_enhancers_dup_filtered_min3_220
250325_k562_perturbseq_enhancers_dup_filtered_min3_221	250325_k562_perturbseq_enhancers_dup_filtered_min3_221
250325_k562_perturbseq_enhancers_dup_filtered_min3_222	250325_k562_perturbseq_enhancers_dup_filtered_min3_222
250325_k562_perturbseq_enhancers_dup_filtered_min3_223	250325_k562_perturbseq_enhancers_dup_filtered_min3_223
250325_k562_perturbseq_enhancers_dup_filtered_min3_224	250325_k562_perturbseq_enhancers_dup_filtered_min3_224
250325_k562_perturbseq_enhancers_dup_filtered_min3_225	250325_k562_perturbseq_enhancers_dup_filtered_min3_225
250325_k562_perturbseq_enhancers_dup_filtered_min3_226	250325_k562_perturbseq_enhancers_dup_filtered_min3_226
250325_k562_perturbseq_enhancers_dup_filtered_min3_227	250325_k562_perturbseq_enhancers_dup_filtered_min3_227
250325_k562_perturbseq_enhancers_dup_filtered_min3_228	250325_k562_perturbseq_enhancers_dup_filtered_min3_228
250325_k562_perturbseq_enhancers_dup_filtered_min3_229	250325_k562_perturbseq_enhancers_dup_filtered_min3_229
250325_k562_perturbseq_enhancers_dup_filtered_min3_230	250325_k562_perturbseq_enhancers_dup_filtered_min3_230
250325_k562_perturbseq_enhancers_dup_filtered_min3_231	250325_k562_perturbseq_enhancers_dup_filtered_min3_231
250325_k562_perturbseq_enhancers_dup_filtered_min3_232	250325_k562_perturbseq_enhancers_dup_filtered_min3_232
250325_k562_perturbseq_enhancers_dup_filtered_min3_233	250325_k562_perturbseq_enhancers_dup_filtered_min3_233
250325_k562_perturbseq_enhancers_dup_filtered_min3_234	250325_k562_perturbseq_enhancers_dup_filtered_min3_234
250325_k562_perturbseq_enhancers_dup_filtered_min3_235	250325_k562_perturbseq_enhancers_dup_filtered_min3_235
250325_k562_perturbseq_enhancers_dup_filtered_min3_236	250325_k562_perturbseq_enhancers_dup_filtered_min3_236
250325_k562_perturbseq_enhancers_dup_filtered_min3_237	250325_k562_perturbseq_enhancers_dup_filtered_min3_237
250325_k562_perturbseq_enhancers_dup_filtered_min3_238	250325_k562_perturbseq_enhancers_dup_filtered_min3_238
250325_k562_perturbseq_enhancers_dup_filtered_min3_239	250325_k562_perturbseq_enhancers_dup_filtered_min3_239
250325_k562_perturbseq_enhancers_dup_filtered_min3_240	250325_k562_perturbseq_enhancers_dup_filtered_min3_240
250325_k562_perturbseq_enhancers_dup_filtered_min3_241	250325_k562_perturbseq_enhancers_dup_filtered_min3_241
250325_k562_perturbseq_enhancers_dup_filtered_min3_242	250325_k562_perturbseq_enhancers_dup_filtered_min3_242
250325_k562_perturbseq_enhancers_dup_filtered_min3_243	250325_k562_perturbseq_enhancers_dup_filtered_min3_243
